family_id,assigned_day
0,100
1,99
2,98
3,97
4,53
5,32
6,88
7,93
8,18
9,88
10,92
11,89
12,52
13,54
14,86
15,22
16,50
17,52
18,75
19,3
20,88
21,56
22,78
23,77
24,76
25,16
26,58
27,38
28,72
29,89
30,70
31,69
32,24
33,1
34,52
35,65
36,47
37,15
38,13
39,9
40,25
41,59
42,81
43,57
44,49
45,55
46,15
47,45
48,52
49,51
50,50
51,28
52,53
53,37
54,94
55,45
56,80
57,31
58,42
59,15
60,98
61,15
62,1
63,31
64,36
65,35
66,1
67,94
68,89
69,22
70,30
71,29
72,66
73,18
74,82
75,53
76,24
77,20
78,52
79,37
80,18
81,17
82,32
83,88
84,9
85,54
86,14
87,13
88,12
89,23
90,54
91,17
92,85
93,5
94,6
95,24
96,75
97,96
98,3
99,39
100,5
101,96
102,31
103,68
104,47
105,17
106,34
107,93
108,34
109,17
110,67
111,68
112,60
113,18
114,15
115,85
116,77
117,94
118,69
119,19
120,56
121,79
122,78
123,95
124,76
125,47
126,3
127,2
128,72
129,17
130,16
131,11
132,76
133,54
134,18
135,5
136,64
137,26
138,2
139,8
140,61
141,89
142,26
143,38
144,28
145,55
146,64
147,28
148,63
149,61
150,50
151,95
152,88
153,3
154,25
155,100
156,44
157,43
158,42
159,55
160,40
161,47
162,68
163,84
164,18
165,33
166,14
167,95
168,73
169,67
170,12
171,73
172,21
173,68
174,94
175,17
176,52
177,74
178,80
179,21
180,20
181,7
182,94
183,17
184,4
185,80
186,50
187,13
188,20
189,1
190,9
191,54
192,77
193,35
194,65
195,55
196,26
197,44
198,81
199,1
200,26
201,47
202,23
203,97
204,67
205,26
206,28
207,93
208,92
209,9
210,90
211,67
212,3
213,18
214,18
215,94
216,43
217,5
218,82
219,81
220,24
221,79
222,36
223,60
224,66
225,61
226,18
227,49
228,87
229,48
230,57
231,69
232,26
233,87
234,66
235,53
236,64
237,3
238,62
239,14
240,33
241,60
242,60
243,89
244,39
245,4
246,50
247,96
248,33
249,75
250,1
251,75
252,45
253,73
254,18
255,94
256,93
257,43
258,42
259,31
260,25
261,67
262,32
263,48
264,11
265,26
266,34
267,18
268,39
269,30
270,67
271,73
272,43
273,38
274,8
275,25
276,32
277,81
278,22
279,38
280,89
281,19
282,12
283,9
284,20
285,5
286,54
287,8
288,63
289,11
290,25
291,80
292,66
293,67
294,46
295,10
296,39
297,48
298,19
299,1
300,100
301,99
302,98
303,97
304,86
305,58
306,2
307,5
308,92
309,91
